"","Santos","Flamengo RJ","Ceara","Goias","Internacional","Corinthians","Cuiaba","America MG","Athletico-PR","Bragantino","Palmeiras","Juventude","Avai","Fluminense","Coritiba","Sao Paulo","Atletico-MG","Atletico GO","Fortaleza","Botafogo RJ"
"3254",0.389335542809746,0.405236415543147,0.125488873440224,0.173839022671718,0.195915513418989,0.178104683489932,0.248652635403332,0.247427001651387,-0.0936067053286943,-0.0993271542088306,0.295471825912855,-0.165187957706066,-0.190809554188774,-0.100568546862995,-0.220437281442297,0.148166437033892,0.0679599533947823,-0.275778216216224,0.270824253449411,-0.00909403265893172
"3255",0.108912446214642,0.207256875995402,0.142326672505265,0.0577096792163201,0.139449041976941,0.275517128151679,0.206459868833438,0.152517953035012,0.0580865190007523,0.0456636932619955,0.342017693842467,-0.362858996125453,-0.345342035344844,0.0158251692599763,-0.337839956413214,0.00326053352760357,0.0966802975538152,-0.267665320957124,-0.0310569395532422,-0.0115142121721892
"3256",0.292244481441824,0.248599632049294,0.12003660479295,-0.0713139784897434,0.272440852774425,0.157707706956223,0.0737812714688582,-0.0837160984360515,0.0764288172737482,-0.272571878648168,0.500850240532317,-0.426297699963313,-0.161957271328373,0.096599567368491,-0.296278618518789,-0.0655745364050464,0.138744083104423,-0.346686512822496,0.014440404420686,0.00587840079701058
"3257",0.297606728920623,-0.0247739161142836,0.157152598491519,-0.0237693304465538,0.108315272598684,-0.0673306688838645,0.0473918537176853,-0.0141561448484423,-0.110909848687602,-0.191517223216865,0.293201154163895,-0.315292486483496,-0.0668937007009213,-0.0746697678103784,-0.383005766204085,0.0132870264297063,-0.0131191860589724,-0.245831311612489,0.208328098500222,-0.0326197519148304
"3258",0.296205677043798,0.106241297055516,-0.161173087308505,0.0340116047742633,0.166434497320715,0.224349008285607,0.214119875180546,0.0948710842461655,0.0773256537962798,0.00234735274658327,0.513802145048736,-0.293640760285544,-0.262007040415519,-0.0684364823788303,-0.260202598601782,-0.0151488574931852,-0.0910444580993889,-0.265244653293748,0.0911791558917261,0.0792158623118915
"3259",-0.028309303306405,0.0377332165218144,-0.123413038272235,-0.127517823173732,-0.0612125884983652,-0.0962167198416332,0.00263087429189883,0.22903722116779,-0.323593519502727,-0.433723594891266,0.151871142215428,-0.594741511344773,-0.567683450465595,-0.284629128230136,-0.350273758421127,-0.109277283706903,-0.164266148366814,-0.218998881672569,-0.250797839754693,-0.18471047512818
"3260",0.000471452502570496,0.206780823810107,0.139690640736448,-0.0228611724213545,-0.0995306876707352,0.346408136030731,0.0758022692004316,0.051679474465948,0.079496384201448,-0.0261714176026606,0.491767528215664,-0.131325581763863,-0.299053434122689,0.129597623927191,-0.234193823342425,-0.220687409822459,0.00279538550614878,-0.314521993904649,-0.084810707905005,0.213318699566487
"3261",0.25233033813337,0.368067257579995,0.046685705796083,0.00600709910048682,0.262107667050865,0.15002412369291,0.161087042308187,-0.026601657156637,0.0650261276832975,0.161622199689056,0.453121306576248,-0.367975409748779,-0.293511695111531,0.00313275609269975,-0.225265652043999,-0.0318139198574953,-0.236852427399063,-0.288078092162691,0.350510043687376,0.00177135031819733
"3262",0.12748442886615,0.0899137307408081,0.114855684898357,0.0354069282356715,0.184622739791991,0.0440892632936117,0.159444913208379,-0.208478860280457,-0.0437523136736621,-0.100583294906505,0.623769070763438,-0.343190541004612,-0.197051049013366,0.114248667435141,-0.115297324338878,0.0987389780062123,0.0234227747792147,-0.384589324233696,0.0558843544830884,0.092009552376851
"3263",0.377896141838309,0.165170632534493,0.349644778958393,-0.131612219466464,0.268297221068639,0.218669432503807,0.237134732923215,0.223894752934832,-0.0132821156062211,-0.175735036694022,0.182692739861729,-0.379454109945565,-9.22427189767542e-05,-0.0277411081168146,-0.263540802261437,0.0683235518268907,-0.102379938710788,-0.268683663706052,0.19638595758396,0.0473313747101211
"3264",0.218560806218717,0.217509727549892,0.12731717158266,0.0634639004763801,0.283320555140943,0.250481087048368,0.16882212212754,0.184862499120606,-0.023768482817927,-0.10399318634223,0.363163689132359,-0.261706913169495,-0.142900984387045,-0.0103819896311203,-0.0975064767137686,0.256327954413544,0.164049537389943,-0.329560634973629,0.131757600990478,0.117417691026259
"3265",-0.0514006087004011,0.120071560052327,-0.0283848924717756,-0.0316626199047184,0.08034840448718,0.0820551948315975,0.118685884843169,-0.122400226148191,-0.216749247545706,-0.259880948839229,0.544213755875734,-0.569092219158144,-0.294234145983992,-0.230964962791109,-0.197706079223611,-0.0447632059624386,0.150640861536462,-0.303861689813776,-0.0919765032684191,-0.153624600096757
"3266",0.366648888676873,0.310696004853064,0.145229413915882,-0.0586665932734669,0.244423224421842,0.335497968371177,0.14016375605796,-0.108433138410003,-0.134869602149627,-0.0121903353242667,0.468933278726644,-0.24456045890534,-0.282699057016983,0.145945933622907,-0.258791800214858,0.0209244992853684,0.101018066610211,-0.102176052794875,0.259138659346443,0.00992625810162789
"3267",0.295478183660828,0.0888297197591457,0.27179471473102,-0.164835472287346,0.26082032634491,0.0468959596474583,-0.107034615895718,0.432442173525666,-0.154848199504597,-0.305481299579879,0.618703385473961,-0.461926386457778,-0.533593934805962,0.0356655565943043,-0.176857637378881,-0.0824103065423036,-0.150758676314809,-0.28618772268514,0.0138473952343897,-0.140276702866755
"3268",0.286535950935624,0.258026209664038,0.0585786988077162,0.0615226647415313,0.333052133621058,0.3819925560814,0.198568059873978,0.220927639374006,0.137751599163803,0.0614066236696569,0.65316186030795,-0.257045388187504,-0.187386730396807,-0.0736165370551699,-0.146131406733998,0.255484852532839,0.258425449022373,-0.205643631332454,-0.0508720099762102,0.242627723787058
"3269",0.0992792182977918,0.129906088093336,0.0541985588864205,-0.136322965846007,0.0601547930383398,0.0259279196767001,-0.038057334204228,0.31951933720273,-0.0773110343907581,-0.0535303718858586,0.164270838206707,-0.059938659054042,-0.370056467758571,-0.0168463399055273,-0.190475780799961,0.0657395010554291,-0.0562049917124324,-0.260748416375513,-0.0625156445098217,0.0894617312090717
"3270",0.197485049797872,0.171610508885885,0.288495983413488,-0.0813316480678208,0.227576170145992,-0.0332046885947551,-0.182021204375954,0.0779912061915941,-0.0440360177919415,-0.0718930667806974,0.40919906681725,-0.424719815930896,-0.452039681993525,-0.180315013837504,-0.406962647598393,-0.0863458215070586,-0.0797149636067059,-0.229964394367285,0.119093350062897,0.115703920084082
