"","Team","Attack","Defense","Round"
"1","Santos",-0.0322273737287333,0.201342554487755,1
"2","Santos",-0.0329907558606867,0.202507343051521,2
"3","Santos",-0.0323868172872739,0.203926628551243,3
"4","Santos",-0.0332627521777818,0.20339761434677,4
"5","Santos",-0.0345866374255293,0.204601569648101,5
"6","Santos",-0.0358294774416904,0.204814797370272,6
"7","Santos",-0.0363983834131328,0.205603207768628,7
"8","Santos",-0.0382245931904491,0.204127721114651,8
"9","Flamengo RJ",0.291542330157817,0.204296500286644,1
"10","Flamengo RJ",0.292354154023632,0.205831842822051,2
"11","Flamengo RJ",0.291809418943652,0.207455714508848,3
"12","Flamengo RJ",0.289818163010212,0.209496664442637,4
"13","Flamengo RJ",0.288809133015552,0.209963348289951,5
"14","Flamengo RJ",0.290263171782388,0.20920563909265,6
"15","Flamengo RJ",0.289704447342341,0.211588660530503,7
"16","Flamengo RJ",0.288724465559534,0.209577836017036,8
"17","Ceara",-0.170070250973617,0.114320324898956,1
"18","Ceara",-0.170245543369757,0.114112127853776,2
"19","Ceara",-0.171496351152762,0.113989659541473,3
"20","Ceara",-0.170323727436477,0.111730901935957,4
"21","Ceara",-0.176382640018378,0.109188693962222,5
"22","Ceara",-0.175569698979192,0.111173571971151,6
"23","Ceara",-0.173789449165195,0.11109038407852,7
"24","Ceara",-0.174448928236062,0.113826464341385,8
"25","Goias",-0.0934770278617495,0.00962922667287196,1
"26","Goias",-0.0952173052424603,0.00840492867463929,2
"27","Goias",-0.0967307387310464,0.00885807369963247,3
"28","Goias",-0.096004445889769,0.00782136640340144,4
"29","Goias",-0.0954501825800619,0.00634930315349093,5
"30","Goias",-0.0936256586431395,0.00748037446217432,6
"31","Goias",-0.0952591704535619,0.00797679188414822,7
"32","Goias",-0.0973872545226661,0.00953132097855531,8
"33","Internacional",0.153917033800439,0.207136326554289,1
"34","Internacional",0.153347247371921,0.204354406616687,2
"35","Internacional",0.153517836408966,0.205622258774695,3
"36","Internacional",0.153335585902816,0.204007729507409,4
"37","Internacional",0.152035841042389,0.203374807053948,5
"38","Internacional",0.152557800352569,0.203502318008412,6
"39","Internacional",0.152400024488124,0.206633687758175,7
"40","Internacional",0.154043590852311,0.205589586621468,8
"41","Corinthians",-0.0760412659120245,0.150846664159399,1
"42","Corinthians",-0.0782872124259862,0.150666097356445,2
"43","Corinthians",-0.0767888824237854,0.151195435976502,3
"44","Corinthians",-0.0757254697615304,0.147773418465436,4
"45","Corinthians",-0.0760387315978888,0.146093175547193,5
"46","Corinthians",-0.0755828384406643,0.145000181419046,6
"47","Corinthians",-0.0760868196613697,0.146996552586982,7
"48","Corinthians",-0.0764903005263422,0.149582812701879,8
"49","Cuiaba",-0.341324517737481,0.116794554523002,1
"50","Cuiaba",-0.339197179365041,0.116632060304063,2
"51","Cuiaba",-0.341101326154169,0.117782248541004,3
"52","Cuiaba",-0.341162875946865,0.117426358235524,4
"53","Cuiaba",-0.342112946698962,0.116380105931581,5
"54","Cuiaba",-0.344460402084385,0.116780608474005,6
"55","Cuiaba",-0.345000336479885,0.116221595186326,7
"56","Cuiaba",-0.345868895937175,0.11575571434363,8
"57","America MG",-0.237132527975871,0.123294393931899,1
"58","America MG",-0.236296879772362,0.12255675452099,2
"59","America MG",-0.238417132135308,0.124331334553975,3
"60","America MG",-0.238541456725324,0.12389683310588,4
"61","America MG",-0.237401062101976,0.12475662212437,5
"62","America MG",-0.238300481497153,0.123244022030154,6
